Location,State,Facility_Type,Primary_Mission,Dock_Type,Reliability,Reliability_CI_Lower,Reliability_CI_Upper,Expected_Cost,Expected_Time,Resilience_Index,Annual_Downtime,Failure_Probability,Strategic_Weight,Strategic_Risk_Score,Risk_Priority
"Puget Sound Naval Shipyard, WA",WA,Naval Shipyard,Submarine maintenance and overhaul,Floating,0.6699999999999999,0.6552709247161865,0.6844028525880903,1078332.1296323151,14.073694070934385,0.9835711274851354,5.9965384679255616,0.33,0.95,0.2241322286667364,Medium
"Puget Sound Naval Shipyard, WA",WA,Naval Shipyard,Submarine maintenance and overhaul,Graving,0.48050000000000004,0.46504275630440134,0.49599466335775505,6352134.381525003,61.05418204280496,0.8968573714199026,37.64705943173552,0.5195,0.95,0.3748631491453277,High
"Norfolk Naval Shipyard, VA",VA,Naval Shipyard,Aircraft carrier and submarine maintenance,Floating,0.608,0.5927739092709605,0.6230188433694037,1314519.119783721,15.748496759327052,0.979164208125836,7.605064034069855,0.392,1.0,0.28065073756224923,Medium
"Norfolk Naval Shipyard, VA",VA,Naval Shipyard,Aircraft carrier and submarine maintenance,Graving,0.4095,0.3943546694590329,0.42481899615251356,7630019.493601526,70.41634538231158,0.8705820592740855,47.2375483649588,0.5905,1.0,0.45217538221777437,High
"Pearl Harbor Naval Shipyard, HI",HI,Naval Shipyard,Pacific Fleet maintenance hub,Floating,0.22775,0.21501809459762827,0.24100434145478694,3008287.8158787214,29.767224431368312,0.9353718757996747,23.589265333118703,0.77225,0.9,0.5039670935340879,High
"Pearl Harbor Naval Shipyard, HI",HI,Naval Shipyard,Pacific Fleet maintenance hub,Graving,0.13049999999999995,0.12041434163113607,0.14129471299280294,12854059.024223937,110.55983324219501,0.7318658935723097,97.86894884610697,0.8695,0.9,0.6201812087354766,High
"Portsmouth Naval Shipyard, NH",NH,Naval Shipyard,Nuclear submarine maintenance,Floating,0.70075,0.6863715041746579,0.7147432652008339,1018637.0096028917,13.11693400265722,0.9856516490434896,5.2371480991263155,0.29925,0.85,0.18171257949391018,Medium
"Portsmouth Naval Shipyard, NH",NH,Naval Shipyard,Nuclear submarine maintenance,Graving,0.5125,0.4970051174298245,0.5279708956072545,6131818.202931405,57.291315166466234,0.9071931809443589,33.87448895530902,0.4875,0.85,0.31372823885918855,High
"Newport News Shipbuilding, VA",VA,Industrial Shipyard,Aircraft carrier and submarine construction,Floating,0.612,0.5967979871147672,0.6269870896974624,1333126.8721153745,16.039568677122812,0.9790986439179891,7.62899496993399,0.388,0.95,0.2639768864833731,Medium
"Newport News Shipbuilding, VA",VA,Industrial Shipyard,Aircraft carrier and submarine construction,Graving,0.4155,0.40031591016303786,0.43084624170630664,7644446.3563122,70.72700955378771,0.8711489174055546,47.030645146972596,0.5845,0.95,0.42541505853941697,High
"Ingalls Shipbuilding, MS",MS,Industrial Shipyard,Surface combatant construction,Floating,0.4655,0.450082253952933,0.4809839500647284,1975281.0174768944,20.929836096759384,0.965764526190456,12.495947940483541,0.5345,0.8,0.3075365137142905,High
"Ingalls Shipbuilding, MS",MS,Industrial Shipyard,Surface combatant construction,Graving,0.28574999999999995,0.2719602517271477,0.29995088481731486,9818405.978660649,87.56982941623698,0.8165791161746554,66.94862259625077,0.71425,0.8,0.44400101211808274,High
"Bath Iron Works, ME",ME,Industrial Shipyard,Destroyer construction,Floating,0.7115,0.6972617157634604,0.7253324248239195,961499.327888209,12.83826524770392,0.9863010387511266,5.0001208558387855,0.2885,0.75,0.1545447662809965,Medium
"Bath Iron Works, ME",ME,Industrial Shipyard,Destroyer construction,Graving,0.5237499999999999,0.5082569524445326,0.5391974723259176,5968812.006437422,56.17683550918675,0.9103099086520525,32.736883342000844,0.47625,0.75,0.27021152055328823,Medium
"General Dynamics NASSCO, CA",CA,Industrial Shipyard,Auxiliary and commercial vessels,Floating,0.68775,0.6732143571266912,0.7019253586902382,1072955.8058555517,13.670407355668816,0.9846374350161007,5.607336219123269,0.31225,0.7,0.15622863864661887,Medium
"General Dynamics NASSCO, CA",CA,Industrial Shipyard,Auxiliary and commercial vessels,Graving,0.525,0.5095076410959382,0.5404443849782202,5627725.061392748,55.83901068388826,0.9112461609960157,32.395151236454254,0.475,0.7,0.2513883061908367,Medium
